
2023-07-17_02-11-27: cars 1, truck 0, bus 0, side: left
2023-07-17_02-11-27: cars 8, truck 4, bus 0, side: right
2023-07-17_02-16-29: cars 1, truck 0, bus 0, side: left
2023-07-17_02-16-29: cars 9, truck 3, bus 2, side: right
2023-07-17_02-21-31: cars 0, truck 0, bus 0, side: left
2023-07-17_02-21-31: cars 7, truck 3, bus 2, side: right
2023-07-17_02-26-33: cars 2, truck 0, bus 0, side: left
2023-07-17_02-26-33: cars 10, truck 2, bus 1, side: right
2023-07-17_02-31-35: cars 2, truck 0, bus 0, side: left
2023-07-17_02-31-35: cars 9, truck 3, bus 1, side: right
2023-07-17_02-36-38: cars 0, truck 0, bus 0, side: left
2023-07-17_02-36-38: cars 10, truck 2, bus 2, side: right
2023-07-17_02-41-40: cars 1, truck 0, bus 0, side: left
2023-07-17_02-41-40: cars 10, truck 2, bus 1, side: right
2023-07-17_02-46-42: cars 1, truck 0, bus 0, side: left
2023-07-17_02-46-42: cars 9, truck 3, bus 1, side: right
2023-07-17_02-51-44: cars 1, truck 0, bus 0, side: left
2023-07-17_02-51-44: cars 9, truck 3, bus 1, side: right
2023-07-17_02-56-46: cars 1, truck 0, bus 0, side: left
2023-07-17_02-56-46: cars 9, truck 3, bus 1, side: right
2023-07-17_03-01-49: cars 0, truck 1, bus 0, side: left
2023-07-17_03-01-49: cars 10, truck 3, bus 1, side: right
2023-07-17_03-06-51: cars 1, truck 0, bus 0, side: left
2023-07-17_03-06-51: cars 9, truck 2, bus 1, side: right
2023-07-17_03-11-54: cars 1, truck 0, bus 0, side: left
2023-07-17_03-11-54: cars 11, truck 3, bus 1, side: right
2023-07-17_03-16-56: cars 1, truck 0, bus 0, side: left
2023-07-17_03-16-56: cars 9, truck 2, bus 0, side: right
2023-07-17_03-21-58: cars 0, truck 0, bus 0, side: left
2023-07-17_03-21-58: cars 10, truck 2, bus 1, side: right
2023-07-17_03-27-00: cars 1, truck 0, bus 0, side: left
2023-07-17_03-27-00: cars 10, truck 2, bus 0, side: right
2023-07-17_03-32-02: cars 0, truck 0, bus 0, side: left
2023-07-17_03-32-02: cars 11, truck 2, bus 0, side: right
2023-07-17_03-37-04: cars 0, truck 0, bus 0, side: left
2023-07-17_03-37-04: cars 11, truck 1, bus 0, side: right
2023-07-17_03-42-06: cars 0, truck 0, bus 0, side: left
2023-07-17_03-42-06: cars 9, truck 3, bus 0, side: right
2023-07-17_03-47-09: cars 0, truck 0, bus 0, side: left
2023-07-17_03-47-09: cars 14, truck 1, bus 0, side: right
2023-07-17_03-52-12: cars 0, truck 0, bus 0, side: left
2023-07-17_03-52-12: cars 13, truck 1, bus 0, side: right
2023-07-17_03-57-14: cars 1, truck 0, bus 0, side: left
2023-07-17_03-57-14: cars 15, truck 2, bus 0, side: right
2023-07-17_04-02-15: cars 0, truck 0, bus 0, side: left
2023-07-17_04-02-15: cars 15, truck 1, bus 0, side: right
2023-07-17_04-07-17: cars 1, truck 1, bus 0, side: left
2023-07-17_04-07-17: cars 11, truck 1, bus 1, side: right
2023-07-17_04-12-20: cars 1, truck 0, bus 0, side: left
2023-07-17_04-12-20: cars 13, truck 1, bus 0, side: right
2023-07-17_04-17-22: cars 0, truck 0, bus 0, side: left
2023-07-17_04-17-22: cars 13, truck 1, bus 0, side: right
2023-07-17_04-22-24: cars 1, truck 0, bus 0, side: left
2023-07-17_04-22-24: cars 9, truck 1, bus 0, side: right
2023-07-17_04-27-26: cars 0, truck 0, bus 0, side: left
2023-07-17_04-27-26: cars 10, truck 1, bus 0, side: right
2023-07-17_04-32-28: cars 0, truck 0, bus 0, side: left
2023-07-17_04-32-28: cars 11, truck 1, bus 0, side: right
2023-07-17_04-37-30: cars 0, truck 0, bus 0, side: left
2023-07-17_04-37-30: cars 11, truck 1, bus 0, side: right
2023-07-17_04-42-33: cars 2, truck 0, bus 0, side: left
2023-07-17_04-42-33: cars 11, truck 2, bus 0, side: right
2023-07-17_04-47-35: cars 0, truck 0, bus 0, side: left
2023-07-17_04-47-35: cars 11, truck 1, bus 0, side: right
2023-07-17_04-52-37: cars 1, truck 0, bus 0, side: left
2023-07-17_04-52-37: cars 11, truck 2, bus 0, side: right
2023-07-17_04-57-39: cars 0, truck 0, bus 0, side: left
2023-07-17_04-57-39: cars 10, truck 2, bus 0, side: right
